|Node|Directory Number|Registration Status|Subscriber Type|Supplementary Service Set
|1000|02-6240074|Not registered|Public|BLOQUEO LD
|1000|02-6240075|Registered from 10.50.15.124|Public|BLOQUEO LD
|1000|02-6240076|Registered from 10.50.11.62|Public|BLOQUEO LD
|1000|02-6240077|Not registered|Public|BLOQUEO LD
|1000|02-6240078|Registered from 10.50.11.237|Public|BLOQUEO LD
|1000|02-6240082|Registered from 10.50.14.0|Public|BLOQUEO LD
|1000|02-6240084|Not registered|Public|BLOQUEO LD
|1000|02-6240085|Not registered|Public|BLOQUEO LD
|1000|02-6240088|Registered from 10.50.11.20|Public|BLOQUEO LD
|1000|02-6240089|Not registered|Public|BLOQUEO LD
|1000|02-6240090|Registered from 10.50.15.69|Public|BLOQUEO LD
|1000|02-6240092|Registered from 10.50.15.113|Public|BLOQUEO LD
|1000|02-6240094|Registered from 10.50.11.60|Public|BLOQUEO LD
|1000|02-6240095|Not registered|Public|BLOQUEO LD
|1000|02-6240096|Not registered|Public|BLOQUEO LD
|1000|02-6240097|Registered from 10.50.12.72|Public|BLOQUEO LD
|1000|02-6240098|Registered from 10.50.11.89|Public|BLOQUEO LD
|1000|02-6240099|Registered from 10.50.15.166|Public|BLOQUEO LD
|1000|02-6240100|Registered from 10.50.15.3|Public|BLOQUEO LD
|1000|02-6240101|Not registered|Public|BLOQUEO LD
|1000|02-6240102|Registered from 10.50.11.200|Public|BLOQUEO LD
|1000|02-6240103|Registered from 10.50.10.218|Public|BLOQUEO LD
|1000|02-6240104|Registered from 10.50.15.20|Public|BLOQUEO LD
|1000|02-6240105|Registered from 10.50.13.55|Public|BLOQUEO LD
|1000|02-6240106|Registered from 10.50.15.5|Public|BLOQUEO LD
|1000|02-6240107|Registered from 10.50.15.13|Public|BLOQUEO LD
|1000|02-6240108|Registered from 10.50.15.37|Public|BLOQUEO LD
|1000|02-6240109|Not registered|Public|BLOQUEO LD
|1000|02-6240110|Registered from 10.50.11.176|Public|BLOQUEO LD
|1000|02-6240113|Registered from 10.50.14.255|Public|BLOQUEO LD
|1000|02-6240114|Not registered|Public|BLOQUEO LD
|1000|02-6240115|Registered from 10.50.15.30|Public|BLOQUEO LD
|1000|02-6240116|Registered from 10.50.15.29|Public|BLOQUEO LD
|1000|02-6240117|Registered from 10.50.15.19|Public|BLOQUEO LD
|1000|02-6240120|Registered from 10.50.15.17|Public|BLOQUEO LD
|1000|02-6240121|Registered from 10.50.13.49|Public|BLOQUEO LD
|1000|02-6240122|Not registered|Public|BLOQUEO LD
|1000|02-6240123|Registered from 10.50.13.36|Public|BLOQUEO LD
|1000|02-6240124|Registered from 10.50.15.2|Public|BLOQUEO LD
|1000|02-6240125|Registered from 10.50.11.169|Public|BLOQUEO LD
|1000|02-6240126|Not registered|Public|BLOQUEO LD
|1000|02-6240128|Registered from 10.50.14.252|Public|BLOQUEO LD
|1000|02-6240129|Not registered|Public|BLOQUEO LD
|1000|02-6240130|Registered from 10.50.15.120|Public|BLOQUEO LD
|1000|02-6240131|Registered from 10.50.11.90|Public|BLOQUEO LD
|1000|02-6240132|Registered from 10.50.14.81|Public|BLOQUEO LD
|1000|02-6240133|Registered from 10.50.14.33|Public|BLOQUEO LD
|1000|02-6240135|Not registered|Public|BLOQUEO LD
|1000|02-6240136|Registered from 10.50.14.240|Public|BLOQUEO LD
|1000|02-6240138|Not registered|Public|BLOQUEO LD
|1000|02-6240139|Registered from 10.50.14.166|Public|BLOQUEO LD
|1000|02-6240140|Registered from 10.50.11.179|Public|BLOQUEO LD
|1000|02-6240141|Not registered|Public|BLOQUEO LD
|1000|02-6240142|Not registered|Public|BLOQUEO LD
|1000|02-6240143|Registered from 10.50.13.188|Public|BLOQUEO LD
|1000|02-6240144|Registered from 10.50.11.208|Public|BLOQUEO LD
|1000|02-6240145|Not registered|Public|BLOQUEO LD
|1000|02-6240146|Registered from 10.50.10.5|Public|BLOQUEO LD
|1000|02-6240147|Not registered|Public|BLOQUEO LD
|1000|02-6240148|Not registered|Public|BLOQUEO LD
|1000|02-6240149|Not registered|Public|BLOQUEO LD
|1000|02-6240150|Not registered|Public|BLOQUEO LD
|1000|02-6240151|Registered from 10.50.15.9|Public|BLOQUEO LD
|1000|02-6240152|Not registered|Public|BLOQUEO LD
|1000|02-6240153|Not registered|Public|BLOQUEO LD
|1000|02-6240154|Registered from 10.50.15.27|Public|BLOQUEO LD
|1000|02-6240155|Not registered|Public|BLOQUEO LD
|1000|02-6240156|Registered from 10.50.14.190|Public|BLOQUEO LD
|1000|02-6240157|Registered from 10.50.14.189|Public|BLOQUEO LD
|1000|02-6240158|Registered from 10.50.15.31|Public|BLOQUEO LD
|1000|02-6240159|Registered from 10.50.11.64|Public|BLOQUEO LD
|1000|02-6240160|Not registered|Public|BLOQUEO LD
|1000|02-6240161|Registered from 10.50.11.255|Public|BLOQUEO LD
|1000|02-6240162|Registered from 10.50.12.172|Public|BLOQUEO LD
|1000|02-6240163|Not registered|Public|BLOQUEO LD
|1000|02-6240164|Not registered|Public|BLOQUEO LD
|1000|02-6240165|Registered from 10.50.11.43|Public|BLOQUEO LD
|1000|02-6240166|Registered from 10.50.14.164|Public|BLOQUEO LD
|1000|02-6240168|Registered from 10.50.15.105|Public|BLOQUEO LD
|1000|02-6240169|Registered from 10.50.13.152|Public|BLOQUEO LD
|1000|02-6240170|Not registered|Public|BLOQUEO LD
|1000|02-6240171|Registered from 10.50.12.223|Public|BLOQUEO LD
|1000|02-6240172|Not registered|Public|BLOQUEO LD
|1000|02-6240175|Not registered|Public|BLOQUEO LD
|1000|02-6240176|Registered from 10.50.14.30|Public|BLOQUEO LD
|1000|02-6240178|Registered from 10.50.13.127|Public|BLOQUEO LD
|1000|02-6240179|Not registered|Public|BLOQUEO LD
|1000|02-6240180|Registered from 10.50.14.78|Public|BLOQUEO LD
|1000|02-6240181|Registered from 10.50.11.16|Public|BLOQUEO LD
|1000|02-6240182|Not registered|Public|BLOQUEO LD
|1000|02-6240183|Registered from 10.50.14.128|Public|BLOQUEO LD
|1000|02-6240184|Not registered|Public|BLOQUEO LD
|1000|02-6240185|Not registered|Public|Abonado Comun
|1000|02-6240188|Registered from 10.50.14.186|Public|BLOQUEO LD
|1000|02-6240189|Registered from 10.50.14.37|Public|BLOQUEO LD
|1000|02-6240191|Registered from 10.50.12.4|Public|BLOQUEO LD
|1000|02-6240192|Registered from 10.50.11.119|Public|BLOQUEO LD
|1000|02-6240193|Registered from 10.50.14.97|Public|BLOQUEO LD
|1000|02-6240196|Not registered|Public|BLOQUEO LD
|1000|02-6240198|Registered from 10.50.13.159|Public|BLOQUEO LD
|1000|02-6240200|Registered from 10.50.15.152|Public|BLOQUEO LD
|1000|02-6240201|Registered from 10.50.10.60|Public|BLOQUEO LD
|1000|02-6240202|Registered from 10.50.14.76|Public|BLOQUEO LD
|1000|02-6240204|Registered from 10.50.12.102|Public|BLOQUEO LD
|1000|02-6240205|Not registered|Public|BLOQUEO LD
|1000|02-6240206|Not registered|Public|BLOQUEO LD
|1000|02-6240207|Not registered|Public|BLOQUEO LD
|1000|02-6240209|Not registered|Public|BLOQUEO LD
|1000|02-6240211|Registered from 10.50.14.43|Public|BLOQUEO LD
|1000|02-6240213|Not registered|Public|BLOQUEO LD
|1000|02-6240214|Registered from 10.50.11.38|Public|BLOQUEO LD
|1000|02-6240215|Registered from 10.50.13.104|Public|BLOQUEO LD
|1000|02-6240216|Registered from 10.50.11.209|Public|BLOQUEO LD
|1000|02-6240217|Registered from 10.50.14.36|Public|BLOQUEO LD
|1000|02-6240218|Registered from 10.50.15.213|Public|BLOQUEO LD
|1000|02-6240219|Not registered|Public|BLOQUEO LD
|1000|02-6240220|Registered from 10.50.14.26|Public|BLOQUEO LD
|1000|02-6240221|Not registered|Public|BLOQUEO LD
|1000|02-6240224|Registered from 10.50.12.42|Public|BLOQUEO LD
|1000|02-6240225|Not registered|Public|BLOQUEO LD
|1000|02-6240230|Not registered|Public|BLOQUEO LD
|1000|02-6240231|Registered from 10.50.12.32|Public|BLOQUEO LD
|1000|02-6240232|Registered from 10.50.10.45|Public|BLOQUEO LD
|1000|02-6240233|Registered from 10.50.14.208|Public|BLOQUEO LD
|1000|02-6240234|Not registered|Public|BLOQUEO LD
|1000|02-6240235|Registered from 10.50.11.7|Public|BLOQUEO LD
|1000|02-6240236|Registered from 10.50.13.17|Public|BLOQUEO LD
|1000|02-6240238|Registered from 10.50.10.99|Public|BLOQUEO LD
|1000|02-6240239|Registered from 10.50.15.251|Public|BLOQUEO LD
|1000|02-6240240|Not registered|Public|BLOQUEO LD
|1000|02-6240241|Registered from 10.50.10.101|Public|BLOQUEO LD
|1000|02-6240242|Not registered|Public|BLOQUEO LD
|1000|02-6240243|Not registered|Public|BLOQUEO LD
|1000|02-6240245|Not registered|Public|BLOQUEO LD
|1000|02-6240246|Registered from 10.50.13.177|Public|BLOQUEO LD
|1000|02-6240248|Not registered|Public|BLOQUEO LD
|1000|02-6240249|Not registered|Public|BLOQUEO LD
|1000|02-6240250|Registered from 10.50.13.214|Public|BLOQUEO LD
|1000|02-6240252|Registered from 10.50.13.198|Public|BLOQUEO LD
|1000|02-6240253|Not registered|Public|BLOQUEO LD
|1000|02-6240254|Registered from 10.50.13.195|Public|BLOQUEO LD
|1000|02-6240255|Registered from 10.50.13.193|Public/Suspended|BLOQUEO TOTAL
|1000|02-6240256|Registered from 10.50.13.189|Public|BLOQUEO LD
|1000|02-6240257|Registered from 10.50.14.72|Public|BLOQUEO LD
|1000|02-6240258|Registered from 10.50.13.181|Public|Abonado Comun
|1000|02-6240259|Registered from 10.50.13.182|Public|BLOQUEO LD
|1000|02-6240260|Registered from 10.50.13.179|Public|BLOQUEO LD
|1000|02-6240263|Not registered|Public|BLOQUEO LD
|1000|02-6240265|Registered from 10.50.15.100|Public|BLOQUEO LD
|1000|02-6240266|Registered from 10.50.10.219|Public|BLOQUEO LD
|1000|02-6240268|Registered from 10.50.11.100|Public|BLOQUEO LD
|1000|02-6240269|Registered from 10.50.11.48|Public|BLOQUEO LD
|1000|02-6240270|Registered from 10.50.10.50|Public|BLOQUEO LD
|1000|02-6240273|Registered from 10.50.13.140|Public|BLOQUEO LD
|1000|02-6240274|Registered from 10.50.13.137|Public|BLOQUEO LD
|1000|02-6240275|Registered from 10.50.13.138|Public|BLOQUEO LD
|1000|02-6240277|Not registered|Public|BLOQUEO LD
|1000|02-6240278|Not registered|Public|BLOQUEO LD
|1000|02-6240279|Registered from 10.50.13.96|Public|BLOQUEO LD
|1000|02-6240280|Not registered|Public|BLOQUEO LD
|1000|02-6240281|Not registered|Public|BLOQUEO LD
|1000|02-6240282|Registered from 10.50.10.95|Public|BLOQUEO LD
|1000|02-6240283|Not registered|Public|BLOQUEO LD
|1000|02-6240284|Registered from 10.50.13.101|Public|BLOQUEO LD
|1000|02-6240285|Not registered|Public|BLOQUEO LD
|1000|02-6240286|Registered from 10.50.13.91|Public|BLOQUEO LD
|1000|02-6240287|Registered from 10.50.12.165|Public|BLOQUEO LD
|1000|02-6240288|Registered from 10.50.13.97|Public|BLOQUEO LD
|1000|02-6240289|Registered from 10.50.13.93|Public|BLOQUEO LD
|1000|02-6240290|Registered from 10.50.13.110|Public|BLOQUEO LD
|1000|02-6240291|Registered from 10.50.13.89|Public|BLOQUEO LD
|1000|02-6240292|Registered from 10.50.13.85|Public|BLOQUEO LD
|1000|02-6240293|Registered from 10.50.11.105|Public|BLOQUEO LD
|1000|02-6240294|Registered from 10.50.12.155|Public|BLOQUEO LD
|1000|02-6240295|Registered from 10.50.13.7|Public|BLOQUEO LD
|1000|02-6240297|Registered from 10.50.13.44|Public|BLOQUEO LD
|1000|02-6240298|Registered from 10.50.14.95|Public|BLOQUEO LD
|1000|02-6240299|Registered from 10.50.13.71|Public|BLOQUEO LD
|1000|02-6240301|Registered from 10.50.13.68|Public|BLOQUEO LD
|1000|02-6240302|Not registered|Public|BLOQUEO LD
|1000|02-6240304|Registered from 10.50.13.58|Public|BLOQUEO LD
|1000|02-6240305|Registered from 10.50.13.34|Public|Abonado Comun
|1000|02-6240306|Not registered|Public|BLOQUEO LD
|1000|02-6240307|Registered from 10.50.13.54|Public|BLOQUEO LD
|1000|02-6240308|Not registered|Public|BLOQUEO LD
|1000|02-6240309|Registered from 10.50.13.43|Public|BLOQUEO LD
|1000|02-6240310|Registered from 10.50.10.87|Public|BLOQUEO LD
|1000|02-6240311|Not registered|Public|BLOQUEO LD
|1000|02-6240312|Registered from 10.50.13.41|Public|BLOQUEO LD
|1000|02-6240313|Registered from 10.50.13.39|Public|BLOQUEO LD
|1000|02-6240315|Registered from 10.50.13.37|Public|BLOQUEO LD
|1000|02-6240318|Registered from 10.50.13.33|Public|BLOQUEO LD
|1000|02-6240319|Not registered|Public|BLOQUEO LD
|1000|02-6240321|Registered from 10.50.11.205|Public|BLOQUEO LD
|1000|02-6240322|Registered from 10.50.13.24|Public|BLOQUEO LD
|1000|02-6240323|Registered from 10.50.13.23|Public|BLOQUEO LD
|1000|02-6240324|Registered from 10.50.14.54|Public|BLOQUEO LD
|1000|02-6240327|Registered from 10.50.14.126|Public/Suspended|BLOQUEO TOTAL
|1000|02-6240330|Registered from 10.50.13.12|Public|BLOQUEO LD
|1000|02-6240332|Registered from 10.50.13.11|Public|BLOQUEO LD
|1000|02-6240333|Registered from 10.50.15.150|Public|BLOQUEO LD
|1000|02-6240334|Registered from 10.50.11.250|Public|BLOQUEO LD
|1000|02-6240335|Not registered|Public|BLOQUEO LD
|1000|02-6240336|Not registered|Public|BLOQUEO LD
|1000|02-6240337|Registered from 10.50.13.3|Public|BLOQUEO LD
|1000|02-6240341|Registered from 10.50.12.250|Public|BLOQUEO LD
|1000|02-6240342|Registered from 10.50.12.255|Public|BLOQUEO LD
|1000|02-6240344|Registered from 10.50.12.243|Public|BLOQUEO LD
|1000|02-6240346|Registered from 10.50.12.240|Public|BLOQUEO LD
|1000|02-6240347|Registered from 10.50.14.160|Public|BLOQUEO LD
|1000|02-6240348|Registered from 10.50.11.186|Public|BLOQUEO LD
|1000|02-6240349|Registered from 10.50.12.123|Public|BLOQUEO LD
|1000|02-6240351|Registered from 10.50.12.236|Public|BLOQUEO LD
|1000|02-6240353|Not registered|Public|BLOQUEO LD
|1000|02-6240354|Registered from 10.50.12.229|Public|BLOQUEO LD
|1000|02-6240355|Registered from 10.50.12.227|Public|BLOQUEO LD
|1000|02-6240358|Registered from 10.50.12.214|Public|BLOQUEO LD
|1000|02-6240359|Registered from 10.50.12.212|Public/Suspended|BLOQUEO TOTAL
|1000|02-6240360|Registered from 10.50.12.205|Public|BLOQUEO LD
|1000|02-6240361|Registered from 10.50.12.207|Public|BLOQUEO LD
|1000|02-6240362|Registered from 10.50.12.208|Public|BLOQUEO LD
|1000|02-6240363|Registered from 10.50.13.207|Public|BLOQUEO LD
|1000|02-6240365|Registered from 10.50.12.199|Public|BLOQUEO LD
|1000|02-6240366|Registered from 10.50.12.203|Public|BLOQUEO LD
|1000|02-6240369|Registered from 10.50.12.192|Public|BLOQUEO LD
|1000|02-6240370|Not registered|Public|BLOQUEO LD
|1000|02-6240373|Registered from 10.50.12.188|Public|BLOQUEO LD
|1000|02-6240374|Registered from 10.50.12.169|Public|BLOQUEO LD
|1000|02-6240375|Registered from 10.50.12.187|Public|BLOQUEO LD
|1000|02-6240376|Registered from 10.50.12.175|Public|BLOQUEO LD
|1000|02-6240377|Registered from 10.50.13.215|Public|BLOQUEO LD
|1000|02-6240379|Not registered|Public|BLOQUEO LD
|1000|02-6240381|Registered from 10.50.12.166|Public|BLOQUEO LD
|1000|02-6240382|Not registered|Public|BLOQUEO LD
|1000|02-6240385|Registered from 10.50.12.162|Public|BLOQUEO LD
|1000|02-6240386|Registered from 10.50.12.159|Public|BLOQUEO LD
|1000|02-6240387|Registered from 10.50.12.161|Public|BLOQUEO LD
|1000|02-6240388|Not registered|Public|BLOQUEO LD
|1000|02-6240389|Not registered|Public|BLOQUEO LD
|1000|02-6240391|Registered from 10.50.10.200|Public|BLOQUEO LD
|1000|02-6240392|Registered from 10.50.12.154|Public|BLOQUEO LD
|1000|02-6240393|Registered from 10.50.10.166|Public|BLOQUEO LD
|1000|02-6240394|Registered from 10.50.12.153|Public|BLOQUEO LD
|1000|02-6240395|Not registered|Public|BLOQUEO LD
|1000|02-6240396|Registered from 10.50.11.221|Public|BLOQUEO LD
|1000|02-6240397|Registered from 10.50.12.92|Public|BLOQUEO LD
|1000|02-6240399|Registered from 10.50.12.147|Public|BLOQUEO LD
|1000|02-6240400|Registered from 10.50.12.194|Public|BLOQUEO LD
|1000|02-6240402|Registered from 10.50.13.203|Public|BLOQUEO LD
|1000|02-6240403|Not registered|Public|BLOQUEO LD
|1000|02-6240404|Registered from 10.50.12.80|Public|BLOQUEO LD
|1000|02-6240406|Registered from 10.50.12.143|Public|BLOQUEO LD
|1000|02-6240407|Registered from 10.50.13.194|Public|BLOQUEO LD
|1000|02-6240410|Registered from 10.50.12.139|Public|BLOQUEO LD
|1000|02-6240411|Not registered|Public|BLOQUEO LD
|1000|02-6240412|Not registered|Public|BLOQUEO LD
|1000|02-6240413|Registered from 10.50.12.122|Public|BLOQUEO LD
|1000|02-6240415|Not registered|Public|Abonado Comun
|1000|02-6240416|Registered from 10.50.12.121|Public|BLOQUEO LD
|1000|02-6240417|Registered from 10.50.11.189|Public|BLOQUEO LD
|1000|02-6240419|Registered from 10.50.15.112|Public|BLOQUEO LD
|1000|02-6240422|Registered from 10.50.13.238|Public|BLOQUEO LD
|1000|02-6240425|Registered from 10.50.11.72|Public|BLOQUEO LD
|1000|02-6240426|Registered from 10.50.11.135|Public|BLOQUEO LD
|1000|02-6240429|Registered from 10.50.12.99|Public|BLOQUEO LD
|1000|02-6240431|Not registered|Public|BLOQUEO LD
|1000|02-6240432|Not registered|Public|BLOQUEO LD
|1000|02-6240433|Registered from 10.50.12.76|Public|BLOQUEO LD
|1000|02-6240434|Registered from 10.50.15.110|Public|BLOQUEO LD
|1000|02-6240435|Registered from 10.50.12.87|Public|BLOQUEO LD
|1000|02-6240436|Registered from 10.50.12.83|Public|BLOQUEO LD
|1000|02-6240437|Registered from 10.50.12.84|Public|BLOQUEO LD
|1000|02-6240438|Registered from 10.50.12.95|Public|BLOQUEO LD
|1000|02-6240439|Not registered|Public|BLOQUEO LD
|1000|02-6240440|Registered from 10.50.13.32|Public|BLOQUEO LD
|1000|02-6240442|Registered from 10.50.15.75|Public|BLOQUEO LD
|1000|02-6240445|Registered from 10.50.10.254|Public|BLOQUEO LD
|1000|02-6240446|Registered from 10.50.12.75|Public|BLOQUEO LD
|1000|02-6240447|Registered from 10.50.12.62|Public|BLOQUEO LD
|1000|02-6240448|Registered from 10.50.12.71|Public|BLOQUEO LD
|1000|02-6240449|Registered from 10.50.12.55|Public|BLOQUEO LD
|1000|02-6240452|Registered from 10.50.12.51|Public|BLOQUEO LD
|1000|02-6240454|Registered from 10.50.12.57|Public|BLOQUEO LD
|1000|02-6240455|Registered from 10.50.12.50|Public|BLOQUEO LD
|1000|02-6240457|Not registered|Public|BLOQUEO LD
|1000|02-6240459|Registered from 10.50.12.48|Public|BLOQUEO LD
|1000|02-6240462|Not registered|Public|BLOQUEO LD
|1000|02-6240463|Not registered (on 'MAD 6240463')|Public|BLOQUEO LD
|1000|02-6240464|Not registered (on 'MAD 6240463')|Public|BLOQUEO LD
|1000|02-6240465|Not registered (on 'MAD 6240465')|Public|BLOQUEO LD
|1000|02-6240466|Not registered (on 'MAD 6240465')|Public|BLOQUEO LD
|1000|02-6240467|Registered from MAD 6240467|Public|BLOQUEO LD
|1000|02-6240468|Registered from MAD 6240467|Public|BLOQUEO LD
|1000|02-6240469|Registered from MAD 6240469|Public|BLOQUEO LD
|1000|02-6240470|Registered from MAD 6240469|Public|BLOQUEO LD
|1000|02-6240471|Registered from MAD 6240471|Public|BLOQUEO LD
|1000|02-6240472|Registered from MAD 6240471|Public|BLOQUEO LD
|1000|02-6240473|Not registered (on 'MAD 6240473')|Public|BLOQUEO LD
|1000|02-6240474|Not registered (on 'MAD 6240473')|Public|BLOQUEO LD
|1000|02-6240475|Registered from 10.50.12.27|Public|BLOQUEO LD
|1000|02-6240476|Registered from 10.50.12.36|Public|BLOQUEO LD
|1000|02-6240477|Registered from 10.50.12.35|Public|BLOQUEO LD
|1000|02-6240478|Registered from 10.50.10.154|Public|BLOQUEO LD
|1000|02-6240479|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6240480|Not registered|Public|BLOQUEO LD
|1000|02-6240481|Not registered|Public|BLOQUEO LD
|1000|02-6240484|Registered from 10.50.10.9|Public|BLOQUEO LD
|1000|02-6240485|Registered from 10.50.11.232|Public|BLOQUEO LD
|1000|02-6240487|Registered from 10.50.11.238|Public|BLOQUEO LD
|1000|02-6240490|Registered from 10.50.11.188|Public|BLOQUEO LD
|1000|02-6240491|Registered from 10.50.12.190|Public|BLOQUEO LD
|1000|02-6240492|Registered from 10.50.11.236|Public|BLOQUEO LD
|1000|02-6240494|Registered from 10.50.11.231|Public|BLOQUEO LD
|1000|02-6240498|Registered from 10.50.11.224|Public|BLOQUEO LD
|1000|02-6240501|Not registered|Public|BLOQUEO LD
|1000|02-6240502|Registered from 10.50.15.237|Public|BLOQUEO LD
|1000|02-6240505|Not registered|Public|BLOQUEO LD
|1000|02-6240506|Registered from 10.50.12.98|Public|BLOQUEO LD
|1000|02-6240507|Not registered|Public|BLOQUEO LD
|1000|02-6240510|Registered from 10.50.11.214|Public|BLOQUEO LD
|1000|02-6240512|Registered from 10.50.11.53|Public|BLOQUEO LD
|1000|02-6240515|Not registered|Public|Abonado Comun
|1000|02-6240517|Not registered|Public|BLOQUEO LD
|1000|02-6240520|Registered from 10.50.11.115|Public|BLOQUEO LD
|1000|02-6240525|Registered from 10.50.10.98|Public|BLOQUEO LD
|1000|02-6240529|Not registered|Public|BLOQUEO LD
|1000|02-6240530|Registered from 10.50.11.137|Public|BLOQUEO LD
|1000|02-6240532|Registered from 10.50.15.215|Public|BLOQUEO LD
|1000|02-6240534|Registered from 10.50.14.3|Public|BLOQUEO LD
|1000|02-6240537|Not registered|Public|BLOQUEO LD
|1000|02-6240539|Registered from 10.50.11.23|Public|BLOQUEO LD
|1000|02-6240548|Not registered|Public|BLOQUEO LD
|1000|02-6240550|Registered from 10.50.12.178|Public|BLOQUEO LD
|1000|02-6240552|Registered from 10.50.15.176|Public|BLOQUEO LD
|1000|02-6240553|Registered from 10.50.10.236|Public|BLOQUEO LD
|1000|02-6240555|Registered from 10.50.11.167|Public|BLOQUEO LD
|1000|02-6240556|Not registered|Public|BLOQUEO LD
|1000|02-6240557|Registered from 10.50.15.116|Public|BLOQUEO LD
|1000|02-6240558|Not registered|Public|BLOQUEO LD
|1000|02-6240561|Registered from 10.50.14.234|Public|BLOQUEO LD
|1000|02-6240562|Not registered|Public|BLOQUEO LD
|1000|02-6240566|Registered from 10.50.10.70|Public|BLOQUEO LD
|1000|02-6240567|Registered from 10.50.10.187|Public|BLOQUEO LD
|1000|02-6240568|Registered from 10.50.11.1|Public|BLOQUEO LD
|1000|02-6240571|Registered from 10.50.10.197|Public|BLOQUEO LD
|1000|02-6240572|Not registered|Public|BLOQUEO LD
|1000|02-6240574|Registered from 10.50.13.56|Public|BLOQUEO LD
|1000|02-6240575|Registered from 10.50.14.102|Public|BLOQUEO LD
|1000|02-6240579|Registered from 10.50.14.107|Public|BLOQUEO LD
|1000|02-6240580|Registered from 10.50.11.104|Public|BLOQUEO LD
|1000|02-6240581|Registered from 10.50.15.57|Public|BLOQUEO LD
|1000|02-6240582|Registered from 10.50.10.186|Public|BLOQUEO LD
|1000|02-6240584|Registered from 10.50.10.82|Public|BLOQUEO LD
|1000|02-6240585|Registered from 10.50.10.29|Public|BLOQUEO LD
|1000|02-6240586|Registered from 10.50.12.65|Public|BLOQUEO LD
|1000|02-6240587|Registered from 10.50.11.26|Public|BLOQUEO LD
|1000|02-6240593|Registered from 10.50.13.133|Public|BLOQUEO LD
|1000|02-6240595|Registered from 10.50.11.243|Public|BLOQUEO LD
|1000|02-6240596|Not registered|Public|BLOQUEO LD
|1000|02-6240598|Not registered|Public|BLOQUEO LD
|1000|02-6240602|Not registered|Public|BLOQUEO LD
|1000|02-6240603|Registered from 10.50.11.69|Public|BLOQUEO LD
|1000|02-6240605|Registered from 10.50.15.127|Public|BLOQUEO LD
|1000|02-6240607|Registered from 10.50.15.59|Public|BLOQUEO LD
|1000|02-6240608|Registered from 10.50.14.251|Public|BLOQUEO LD
|1000|02-6240609|Registered from 10.50.11.61|Public|BLOQUEO LD
|1000|02-6240610|Registered from 10.50.13.213|Public|BLOQUEO LD
|1000|02-6240611|Registered from 10.50.10.255|Public|BLOQUEO LD
|1000|02-6240612|Registered from 10.50.15.66|Public|BLOQUEO LD
|1000|02-6240614|Not registered|Public|BLOQUEO LD
|1000|02-6240616|Registered from 10.50.11.11|Public|BLOQUEO LD
|1000|02-6240618|Registered from 10.50.15.7|Public|BLOQUEO LD
|1000|02-6240621|Not registered|Public|BLOQUEO LD
|1000|02-6240622|Not registered|Public|BLOQUEO LD
|1000|02-6240623|Not registered|Public|BLOQUEO LD
|1000|02-6240624|Registered from 10.50.11.9|Public|BLOQUEO LD
|1000|02-6240625|Registered from 10.50.10.243|Public|BLOQUEO LD
|1000|02-6240628|Registered from 10.50.12.45|Public|BLOQUEO LD
|1000|02-6240630|Registered from 10.50.11.0|Public|BLOQUEO LD
|1000|02-6240633|Not registered|Public|BLOQUEO LD
|1000|02-6240637|Registered from 10.50.13.205|Public|BLOQUEO LD
|1000|02-6240638|Not registered|Public|BLOQUEO LD
|1000|02-6240642|Registered from 10.50.10.96|Public|BLOQUEO LD
|1000|02-6240643|Registered from 10.50.14.16|Public|BLOQUEO LD
|1000|02-6240644|Not registered|Public|BLOQUEO LD
|1000|02-6240647|Registered from 10.50.12.7|Public|BLOQUEO LD
|1000|02-6240649|Registered from 10.50.15.25|Public|BLOQUEO LD
|1000|02-6240650|Registered from 10.50.15.126|Public|BLOQUEO LD
|1000|02-6240651|Registered from 10.50.14.223|Public|BLOQUEO LD
|1000|02-6240660|Not registered|Public|BLOQUEO LD
|1000|02-6240662|Not registered|Public|BLOQUEO LD
|1000|02-6240663|Registered from 10.50.12.22|Public|BLOQUEO LD
|1000|02-6240665|Registered from 10.50.11.101|Public|BLOQUEO LD
|1000|02-6240666|Registered from 10.50.11.52|Public|BLOQUEO LD
|1000|02-6240669|Not registered|Public|BLOQUEO LD
|1000|02-6240670|Registered from 10.50.15.230|Public|BLOQUEO LD
|1000|02-6240677|Registered from 10.50.15.111|Public|BLOQUEO LD
|1000|02-6240679|Registered from 10.50.14.11|Public|BLOQUEO LD
|1000|02-6240680|Not registered|Public|BLOQUEO LD
|1000|02-6240682|Registered from 10.50.10.85|Public|BLOQUEO LD
|1000|02-6240686|Registered from 10.50.15.53|Public|BLOQUEO LD
|1000|02-6240687|Registered from 10.50.11.158|Public|BLOQUEO LD
|1000|02-6240688|Registered from 10.50.15.199|Public|BLOQUEO LD
|1000|02-6240690|Not registered|Public|BLOQUEO LD
|1000|02-6240691|Registered from 10.50.13.235|Public|BLOQUEO LD
|1000|02-6240697|Registered from 10.50.11.14|Public|Abonado Comun
|1000|02-6240700|Not registered|Public|BLOQUEO LD
|1000|02-6240702|Registered from 10.50.14.131|Public|BLOQUEO LD
|1000|02-6240705|Registered from 10.50.13.112|Public|BLOQUEO LD
|1000|02-6240710|Registered from 10.50.10.30|Public|BLOQUEO LD
|1000|02-6240711|Registered from 10.50.10.131|Public|BLOQUEO LD
|1000|02-6240712|Registered from 10.50.15.87|Public|BLOQUEO LD
